log(T),Ne0+,Ne1+,Ne2+,Ne3+,Ne4+,Ne5+,Ne6+,Ne7+,Ne8+,Ne9+,Ne10+
4.00,0.000,7.324,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.10,0.000,4.891,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.20,0.001,2.918,12.845,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.30,0.021,1.330,8.442,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.40,0.303,0.299,5.146,15.000,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.50,1.090,0.037,3.079,10.508,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.60,1.800,0.016,1.686,6.961,15.000,15.000,15.000,15.000,15.000,15.000,15.000
4.70,2.261,0.081,0.784,4.411,11.839,15.000,15.000,15.000,15.000,15.000,15.000
4.80,2.705,0.296,0.310,2.689,8.104,15.000,15.000,15.000,15.000,15.000,15.000
4.90,3.249,0.652,0.126,1.538,5.395,11.656,15.000,15.000,15.000,15.000,15.000
5.00,3.888,1.106,0.126,0.760,3.391,8.010,14.847,15.000,15.000,15.000,15.000
5.10,4.668,1.695,0.319,0.310,1.955,5.264,10.426,15.000,15.000,15.000,15.000
5.20,5.607,2.435,0.705,0.156,0.996,3.246,7.056,12.781,15.000,15.000,15.000
5.30,6.690,3.314,1.263,0.254,0.429,1.815,4.523,8.788,13.291,15.000,15.000
5.40,7.927,4.345,1.999,0.595,0.218,0.891,2.695,5.766,8.907,15.000,15.000
5.50,9.306,5.520,2.899,1.151,0.311,0.394,1.447,3.538,5.573,15.000,15.000
5.60,10.819,6.830,3.953,1.902,0.668,0.257,0.683,1.965,3.098,15.000,15.000
5.70,12.486,8.300,5.182,2.858,1.285,0.456,0.353,0.963,1.356,12.638,15.000
5.80,14.471,10.094,6.748,4.176,2.305,1.118,0.564,0.614,0.396,9.086,15.000
5.90,15.000,12.195,8.634,5.831,3.694,2.195,1.252,0.829,0.103,6.710,14.965
6.00,15.000,14.232,10.465,7.448,5.068,3.292,2.010,1.184,0.034,4.963,11.325
6.10,15.000,15.000,12.114,8.895,6.292,4.267,2.686,1.511,0.015,3.589,8.423
6.20,15.000,15.000,13.570,10.159,7.349,5.096,3.248,1.770,0.009,2.493,6.089
6.30,15.000,15.000,14.844,11.250,8.246,5.782,3.694,1.949,0.015,1.630,4.220
6.40,15.000,15.000,15.000,12.213,9.025,6.365,4.057,2.080,0.052,0.987,2.754
6.50,15.000,15.000,15.000,13.130,9.768,6.923,4.415,2.234,0.155,0.565,1.654
6.60,15.000,15.000,15.000,14.083,10.555,7.535,4.842,2.484,0.365,0.361,0.888
6.70,15.000,15.000,15.000,15.000,11.442,8.255,5.390,2.876,0.709,0.369,0.426
6.80,15.000,15.000,15.000,15.000,12.418,9.071,6.045,3.390,1.161,0.534,0.195
6.90,15.000,15.000,15.000,15.000,13.419,9.920,6.741,3.953,1.650,0.770,0.093
7.00,15.000,15.000,15.000,15.000,14.401,10.756,7.430,4.515,2.125,1.017,0.048
7.10,15.000,15.000,15.000,15.000,15.000,11.563,8.095,5.056,2.569,1.250,0.026
7.20,15.000,15.000,15.000,15.000,15.000,12.339,8.734,5.572,2.980,1.463,0.016
7.30,15.000,15.000,15.000,15.000,15.000,13.086,9.348,6.063,3.360,1.657,0.010
7.40,15.000,15.000,15.000,15.000,15.000,13.807,9.939,6.532,3.714,1.835,0.006
7.50,15.000,15.000,15.000,15.000,15.000,14.506,10.512,6.982,4.046,1.998,0.004
7.60,15.000,15.000,15.000,15.000,15.000,15.000,11.067,7.415,4.360,2.150,0.003
7.70,15.000,15.000,15.000,15.000,15.000,15.000,11.608,7.835,4.659,2.293,0.002
7.80,15.000,15.000,15.000,15.000,15.000,15.000,12.137,8.244,4.947,2.429,0.002
7.90,15.000,15.000,15.000,15.000,15.000,15.000,12.657,8.643,5.226,2.560,0.001
8.00,15.000,15.000,15.000,15.000,15.000,15.000,13.168,9.036,5.498,2.687,0.001
8.10,15.000,15.000,15.000,15.000,15.000,15.000,13.674,9.424,5.767,2.812,0.001
8.20,15.000,15.000,15.000,15.000,15.000,15.000,14.177,9.809,6.034,2.936,0.001
8.30,15.000,15.000,15.000,15.000,15.000,15.000,14.677,10.194,6.300,3.061,0.000
8.40,15.000,15.000,15.000,15.000,15.000,15.000,15.000,10.579,6.569,3.186,0.000
8.50,15.000,15.000,15.000,15.000,15.000,15.000,15.000,10.967,6.840,3.313,0.000
8.60,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.358,7.115,3.443,0.000
8.70,15.000,15.000,15.000,15.000,15.000,15.000,15.000,11.754,7.396,3.576,0.000
8.80,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.155,7.684,3.713,0.000
8.90,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.563,7.979,3.853,0.000
9.00,15.000,15.000,15.000,15.000,15.000,15.000,15.000,12.979,8.281,3.998,0.000
