log(T),He0+,He1+,He2+
4.00,0.000,8.813,15.000
4.10,0.000,6.135,15.000
4.20,0.000,3.980,15.000
4.30,0.003,2.240,13.153
4.40,0.061,0.885,8.981
4.50,0.496,0.167,5.896
4.60,1.295,0.023,3.845
4.70,2.043,0.006,2.288
4.80,2.650,0.040,1.071
4.90,3.265,0.295,0.307
5.00,4.052,0.884,0.061
5.10,4.827,1.527,0.013
5.20,5.511,2.092,0.004
5.30,6.116,2.571,0.001
5.40,6.658,2.979,0.000
5.50,7.150,3.329,0.000
5.60,7.603,3.633,0.000
5.70,8.022,3.899,0.000
5.80,8.413,4.135,0.000
5.90,8.779,4.346,0.000
6.00,9.125,4.538,0.000
6.10,9.452,4.713,0.000
6.20,9.764,4.874,0.000
6.30,10.061,5.023,0.000
6.40,10.346,5.164,0.000
6.50,10.621,5.296,0.000
6.60,10.886,5.422,0.000
6.70,11.143,5.542,0.000
6.80,11.392,5.658,0.000
6.90,11.636,5.770,0.000
7.00,11.874,5.880,0.000
7.10,12.109,5.988,0.000
7.20,12.341,6.095,0.000
7.30,12.570,6.201,0.000
7.40,12.796,6.306,0.000
7.50,13.020,6.410,0.000
7.60,13.242,6.514,0.000
7.70,13.462,6.617,0.000
7.80,13.681,6.721,0.000
7.90,13.899,6.824,0.000
8.00,14.115,6.927,0.000
8.10,14.332,7.030,0.000
8.20,14.547,7.133,0.000
8.30,14.762,7.237,0.000
8.40,14.977,7.340,0.000
8.50,15.000,7.445,0.000
8.60,15.000,7.549,0.000
8.70,15.000,7.653,0.000
8.80,15.000,7.758,0.000
8.90,15.000,7.863,0.000
9.00,15.000,7.968,0.000
